ASN,Location_bias,Network_size_bias,Topology_bias,IXP_related_bias,Network_type_bias,RIR_region,Customer_cone_num_ASNs,Customer_cone_num_prefixes,Location_country,num_neighbors_total,Scope_PeeringDB,Network_type_PeeringDB,Peering_policy_PeeringDB,IXPs_PeeringDB,num_facilities_PeeringDB,is_in_peeringDB,nb_atlas_probes_v4,nb_atlas_probes_v6,is_routeviews_peer,Improvement_proximity,kind
1,-0.2,-0.07,-0.2,0.0,-0.02,ARIN,2.0,172.0,US,15.0,,,,,,0.0,,,,42.0,RIS
2,-0.2,-0.01,-0.03,0.0,-0.02,ARIN,3.0,30.0,US,17.0,,,,,,0.0,,,,50.0,RIS
3,-0.2,-0.06,-0.03,0.01,-0.05,ARIN,1.0,134.0,US,26.0,North America,Educational/Research,Restrictive,0.0,2.0,1.0,2.0,1.0,,169.0,RIS
4,-0.2,0.0,-0.21,-0.29,-0.73,ARIN,3.0,303.0,US,12.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,2.0,,,81.0,RIS
5,-0.2,-0.17,-0.21,0.0,-0.02,ARIN,2.0,8.0,US,11.0,,,,,,0.0,,,,38.0,RIS
6,-0.2,-0.07,-0.21,-0.29,-0.73,ARIN,2.0,34.0,US,9.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,64.0,RIS
7,0.11,-0.07,-0.61,0.0,-0.02,RIPE,1.0,17.0,EU,2.0,,,,,,0.0,,,,38.0,RIS
8,-0.2,-0.11,-0.22,-0.29,-0.73,ARIN,2.0,12.0,US,7.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,18.0,RIS
9,-0.2,-0.11,-0.21,-0.29,-0.73,ARIN,1.0,8.0,US,10.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,14.0,RIS
10,-0.2,-0.22,-0.49,0.0,-0.02,ARIN,2.0,1.0,US,3.0,,,,,,0.0,,,,1.0,RIS
12,-0.2,-0.01,-0.21,0.0,-0.02,ARIN,3.0,16.0,US,10.0,,,,,,0.0,,,,16.0,RIS
14,-0.2,-0.11,-0.39,0.0,-0.02,ARIN,1.0,11.0,US,3.0,,,,,,0.0,,,,11.0,RIS
16,-0.2,-0.16,-0.39,0.0,-0.02,ARIN,1.0,2.0,US,3.0,,,,,,0.0,1.0,,,7.0,RIS
17,-0.2,-0.07,-0.61,0.0,-0.02,ARIN,1.0,21.0,US,2.0,,,,,,0.0,,,,42.0,RIS
18,-0.2,-0.11,-0.49,0.0,-0.02,ARIN,1.0,8.0,US,3.0,,,,,,0.0,,,,15.0,RIS
19,-0.2,-0.11,-0.39,-0.29,-0.73,ARIN,1.0,13.0,US,4.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,16.0,RIS
20,-0.2,-0.16,-0.39,-0.29,-0.73,ARIN,1.0,3.0,US,4.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,3.0,RIS
21,-0.2,-0.17,-0.21,0.0,-0.02,ARIN,1.0,12.0,US,7.0,,,,,,0.0,,,,23.0,RIS
24,-0.2,-0.11,-0.16,0.0,-0.02,ARIN,2.0,4.0,US,8.0,,,,,,0.0,,,,4.0,RIS
26,-0.2,-0.11,-0.39,-0.19,-0.25,ARIN,1.0,6.0,US,4.0,Regional,Educational/Research,Open,0.0,2.0,1.0,,,,6.0,RIS
27,-0.2,-0.11,-0.61,0.0,-0.02,ARIN,1.0,7.0,US,2.0,,,,,,0.0,1.0,,,14.0,RIS
29,-0.2,-0.11,-0.22,0.0,-0.02,ARIN,1.0,5.0,US,6.0,,,,,,0.0,,,,9.0,RIS
31,-0.2,-0.11,-0.39,0.0,-0.02,ARIN,1.0,8.0,US,3.0,,,,,,0.0,,,,16.0,RIS
32,-0.2,-0.16,-0.61,0.0,-0.02,ARIN,1.0,3.0,US,2.0,,,,,,0.0,1.0,1.0,,6.0,RIS
33,-0.2,-0.01,-0.39,-0.29,-0.73,ARIN,3.0,38.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,12.0,RIS
34,-0.2,-0.11,-0.39,0.0,-0.02,ARIN,2.0,4.0,US,5.0,,,,,,0.0,,,,3.0,RIS
35,-0.2,-0.07,-0.39,-0.21,-0.73,ARIN,2.0,16.0,US,3.0,Not Disclosed,Not Disclosed,,0.0,0.0,1.0,,,,32.0,RIS
38,-0.2,-0.11,-0.61,0.0,-0.02,ARIN,1.0,12.0,US,2.0,,,,,,0.0,,,,8.0,RIS
46,-0.2,-0.07,-0.22,0.12,-0.03,ARIN,2.0,20.0,US,8.0,Regional,Educational/Research,Selective,4.0,2.0,1.0,,,,18.0,RIS
47,-0.2,-0.07,-0.22,0.0,-0.02,ARIN,1.0,18.0,US,6.0,,,,,,0.0,,,,37.0,RIS
49,-0.2,-0.07,-0.61,-0.29,-0.73,ARIN,1.0,16.0,US,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,58.0,RIS
50,-0.2,-0.11,-0.61,-0.29,-0.73,ARIN,1.0,10.0,US,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,20.0,RIS
52,-0.2,-0.11,-0.61,0.0,-0.02,ARIN,1.0,11.0,US,2.0,,,,,,0.0,1.0,,,22.0,RIS
55,-0.2,-0.11,-0.23,-0.09,-0.28,ARIN,2.0,7.0,US,6.0,North America,Educational/Research,Selective,0.0,1.0,1.0,1.0,1.0,,7.0,RIS
57,-0.2,0.07,0.03,-0.18,-0.02,ARIN,23.0,350.0,US,31.0,Regional,Educational/Research,Open,1.0,5.0,1.0,,1.0,,76.0,RIS
59,-0.2,-0.11,-0.22,-0.18,0.02,ARIN,1.0,9.0,US,4.0,Regional,Educational/Research,Open,1.0,4.0,1.0,1.0,,,16.0,RIS
62,-0.2,0.09,0.03,-0.04,-0.05,ARIN,112.0,1589.0,US,121.0,North America,NSP,Open,5.0,10.0,1.0,,,,696.0,RIS
63,-0.2,-0.11,-0.39,0.0,-0.02,ARIN,1.0,5.0,US,3.0,,,,,,0.0,,,,10.0,RIS
65,-0.2,-0.3,-0.61,0.0,-0.02,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,,4.0,RIS
70,-0.2,-0.06,-0.39,-0.29,-0.73,ARIN,2.0,64.0,US,5.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,222.0,RIS
71,-0.2,0.07,-0.17,-0.29,-0.73,ARIN,7.0,152.0,US,7.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,118.0,RIS
72,-0.2,-0.06,-0.2,0.02,-0.25,ARIN,1.0,110.0,US,23.0,Global,Enterprise,Selective,3.0,0.0,1.0,,,,125.0,RIS
74,-0.22,-0.11,-0.61,0.0,-0.02,ARIN,1.0,4.0,CA,2.0,,,,,,0.0,,,,8.0,RIS
77,-0.2,-0.16,-0.39,0.0,-0.02,ARIN,1.0,3.0,US,4.0,,,,,,0.0,,,,5.0,RIS
81,-0.2,0.08,-0.14,-0.29,-0.01,ARIN,34.0,246.0,US,39.0,Regional,Educational/Research,Open,0.0,0.0,1.0,,,,237.0,RIS
85,-0.2,-0.07,-0.49,0.0,-0.02,ARIN,1.0,17.0,US,3.0,,,,,,0.0,,,,34.0,RIS
88,-0.2,-0.11,-0.39,-0.21,-0.73,ARIN,1.0,10.0,US,3.0,Not Disclosed,Not Disclosed,,0.0,0.0,1.0,,,,20.0,RIS
91,-0.2,-0.11,-0.39,0.0,-0.02,ARIN,1.0,7.0,US,3.0,,,,,,0.0,,,,7.0,RIS
92,-0.2,-0.11,-0.39,0.0,-0.02,ARIN,1.0,4.0,US,4.0,,,,,,0.0,,,,4.0,RIS
97,-0.2,-0.3,-0.39,0.0,-0.02,ARIN,1.0,2.0,US,4.0,,,,,,0.0,,,,2.0,RIS
98,-0.2,-0.16,-0.49,0.0,-0.02,ARIN,1.0,1.0,US,3.0,,,,,,0.0,,,,1.0,RIS
100,-0.2,-0.22,-0.21,-0.29,-0.73,ARIN,1.0,3.0,US,9.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,25.0,RIS
101,-0.2,0.08,0.04,-0.07,-0.04,ARIN,43.0,327.0,US,54.0,Regional,Educational/Research,Open,4.0,3.0,1.0,,,1.0,153.0,RIS
103,-0.2,-0.07,-0.05,-0.29,-0.73,ARIN,1.0,22.0,US,8.0,Not Disclosed,Not Disclosed,Open,0.0,1.0,1.0,,,,22.0,RIS
104,-0.2,-0.07,-0.61,-0.29,-0.73,ARIN,1.0,23.0,US,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,1.0,,,46.0,RIS
109,-0.2,-0.06,-0.03,0.16,-0.01,ARIN,1.0,86.0,US,24.0,Global,Enterprise,Selective,9.0,18.0,1.0,,,,108.0,RIS
111,-0.2,-0.07,-0.23,0.01,-0.05,ARIN,2.0,22.0,US,6.0,North America,Educational/Research,Restrictive,0.0,2.0,1.0,,1.0,,23.0,RIS
112,-0.2,-0.3,-0.01,-0.06,0.02,ARIN,1.0,2.0,US,101.0,Global,Non-Profit,Open,55.0,3.0,1.0,,,,,RIS
